timestamp,ch1,ch2,ch3,ch4,ch5
1741845790.806125,286.62109375,101.07421875,-162.109375,-115.72265625,-51.7578125
1741845790.8100312,-842.28515625,88.37890625,-156.25,-68.84765625,-64.94140625
1741845790.8139374,212.890625,100.09765625,-149.4140625,-107.91015625,-73.73046875
1741845790.8178437,-1000.0,119.62890625,-148.92578125,-170.41015625,-103.02734375
1741845790.82175,-984.375,114.2578125,-148.4375,-176.26953125,-115.72265625
1741845790.8256562,124.0234375,117.1875,-145.01953125,-106.4453125,-72.75390625
1741845790.8295624,-830.56640625,127.44140625,-152.34375,-54.19921875,13.671875
1741845790.8334687,165.0390625,137.20703125,-147.4609375,-67.87109375,251.953125
1741845790.837375,-1000.0,134.27734375,-139.6484375,-116.69921875,329.58984375
1741845790.8412812,-1000.0,132.8125,-148.4375,-157.71484375,19.04296875
1741845790.8451874,4.39453125,152.34375,-138.18359375,-101.5625,-62.01171875
1741845790.8490937,-874.51171875,167.48046875,-113.76953125,-20.5078125,30.76171875
1741845790.851125,538.0859375,178.22265625,-92.28515625,-13.18359375,-63.4765625
1741845790.8550313,-686.5234375,180.6640625,-77.63671875,-49.8046875,-126.953125
1741845790.8589375,-1000.0,184.5703125,-74.70703125,-84.47265625,-100.09765625
1741845790.8628438,-192.3828125,189.453125,-75.68359375,-73.73046875,-25.390625
1741845790.86675,-902.83203125,180.17578125,-82.51953125,-41.50390625,-77.1484375
1741845790.8706563,577.63671875,166.015625,-92.28515625,-31.73828125,-49.8046875
1741845790.8745625,-663.0859375,147.94921875,-100.5859375,-75.1953125,178.7109375
1741845790.8784688,-1000.0,138.671875,-110.3515625,-123.046875,164.0625
1741845790.882375,-316.89453125,126.953125,-123.53515625,-110.3515625,-71.77734375
1741845790.8862813,-975.5859375,99.609375,-119.62890625,-42.96875,-94.23828125
1741845790.8901875,635.7421875,93.75,-118.1640625,-32.71484375,36.1328125
1741845790.8940938,-582.51953125,105.95703125,-126.953125,-109.86328125,15.625
1741845790.896125,-1000.0,114.74609375,-133.30078125,-160.15625,-134.765625
1741845790.9000313,-431.15234375,134.765625,-132.32421875,-136.23046875,-109.375
1741845790.9039376,875.9765625,169.921875,-115.234375,-83.0078125,-42.96875
1741845790.9078438,957.51953125,204.58984375,-87.40234375,-28.3203125,-58.10546875
1741845790.91175,-200.68359375,223.6328125,-72.265625,-31.25,-113.28125
1741845790.9156563,-1000.0,224.609375,-74.70703125,-74.21875,-74.70703125
1741845790.9195626,-816.40625,233.3984375,-73.73046875,-57.6171875,201.66015625
1741845790.9234688,428.7109375,240.72265625,-83.984375,-8.7890625,226.07421875
1741845790.927375,-981.93359375,247.0703125,-91.30859375,-9.27734375,-27.83203125
1741845790.9312813,-167.96875,251.46484375,-79.58984375,-27.83203125,-95.21484375
1741845790.9351876,-1000.0,246.58203125,-78.61328125,-51.7578125,-14.6484375
1741845790.9390938,-754.39453125,249.51171875,-87.890625,-77.1484375,-23.4375
1741845790.942125,500.48828125,268.5546875,-87.890625,-46.875,-49.8046875
1741845790.9460313,-988.76953125,278.80859375,-91.30859375,-21.484375,26.85546875
1741845790.9499376,-214.35546875,281.25,-108.3984375,-100.5859375,15.625
1741845790.9538438,-1000.0,275.390625,-120.1171875,-169.921875,-88.8671875
1741845790.95775,-925.29296875,273.4375,-123.53515625,-164.0625,-126.953125
1741845790.9616563,164.0625,281.25,-118.65234375,-124.0234375,61.03515625
1741845790.9655626,-873.046875,294.43359375,-109.86328125,-97.65625,186.03515625
1741845790.9694688,60.05859375,299.31640625,-111.328125,-150.390625,7.8125
1741845790.973375,-1000.0,296.38671875,-110.3515625,-240.234375,-113.28125
1741845790.9772813,-1000.0,304.19921875,-100.5859375,-254.8828125,9.765625
1741845790.9811876,-136.23046875,311.5234375,-100.5859375,-208.49609375,79.58984375
1741845790.9850938,-839.84375,305.17578125,-107.421875,-172.8515625,-50.78125
1741845791.001125,206.0546875,299.8046875,-108.88671875,-172.8515625,-41.015625
1741845791.0050313,-984.375,296.38671875,-120.1171875,-228.515625,-67.87109375
1741845791.0089376,-1000.0,287.109375,-126.953125,-282.2265625,-91.30859375
1741845791.0128438,-210.9375,277.83203125,-134.27734375,-249.51171875,-46.38671875
1741845791.01675,-856.4453125,270.01953125,-142.578125,-201.171875,-83.49609375
1741845791.0206563,226.5625,274.90234375,-130.859375,-194.3359375,120.1171875
1741845791.0245626,-1000.0,269.53125,-125.9765625,-218.26171875,211.42578125
1741845791.0284688,-1000.0,249.0234375,-134.765625,-233.3984375,-46.875
1741845791.032375,-312.5,248.53515625,-130.37109375,-187.5,-83.49609375
1741845791.0362813,-957.03125,249.51171875,-120.1171875,-104.98046875,87.890625
1741845791.0401876,606.93359375,240.72265625,-130.37109375,-95.703125,69.82421875
1741845791.0440938,-650.87890625,240.234375,-136.23046875,-146.484375,-134.27734375
1741845791.046125,-1000.0,238.28125,-134.27734375,-161.1328125,-69.82421875
1741845791.0500312,-395.01953125,236.328125,-142.08984375,-129.8828125,-29.78515625
1741845791.0539374,958.984375,228.02734375,-153.80859375,-83.984375,-100.09765625
