timestamp,ch1,ch2,ch3,ch4,ch5
1741802820.366125,-72.265625,-4.39453125,53.22265625,-847.65625,976.5625
1741802820.3700314,-1000.0,-1000.0,-1000.0,-1000.0,726.5625
1741802820.3739376,-368.1640625,-436.03515625,-821.2890625,-216.30859375,-351.07421875
1741802820.3778439,917.96875,883.30078125,384.27734375,-922.8515625,-1000.0
1741802820.38175,-901.85546875,-883.7890625,-909.66796875,813.96484375,-146.97265625
1741802820.3856564,98.6328125,152.83203125,246.58203125,-540.0390625,-988.28125
1741802820.3895626,-1000.0,-1000.0,-1000.0,-1000.0,803.7109375
1741802820.3934689,-550.29296875,-656.73828125,-948.73046875,-179.6875,-353.515625
1741802820.397375,823.2421875,727.5390625,203.61328125,-987.3046875,-1000.0
1741802820.4012814,-859.86328125,-837.890625,-909.1796875,-980.46875,-156.25
1741802820.4051876,194.3359375,176.7578125,219.23828125,-179.19921875,958.0078125
1741802820.4090939,-1000.0,-1000.0,-997.0703125,-1000.0,738.76953125
1741802820.411125,-756.34765625,-881.34765625,-984.375,-250.0,-233.88671875
1741802820.4150312,624.51171875,449.70703125,129.39453125,972.16796875,-1000.0
1741802820.4189374,-819.3359375,-792.48046875,-919.43359375,-932.6171875,-552.24609375
1741802820.4228437,164.55078125,153.3203125,384.765625,4.39453125,685.546875
1741802820.42675,-1000.0,-1000.0,-838.37890625,-1000.0,923.33984375
1741802820.4306562,-957.03125,-1000.0,-1000.0,-434.5703125,-98.14453125
1741802820.4345624,335.44921875,197.265625,-104.98046875,880.859375,-1000.0
1741802820.4384687,-776.3671875,-765.625,-944.3359375,-880.859375,-648.4375
1741802820.442375,140.625,206.0546875,379.39453125,190.4296875,513.18359375
1741802820.4462812,-1000.0,-1000.0,-879.39453125,-1000.0,-905.76171875
1741802820.4501874,-1000.0,-1000.0,-1000.0,-682.12890625,9.765625
1741802820.4540937,41.9921875,-28.3203125,-137.20703125,709.47265625,-1000.0
