Condition,Alpha Power,Beta Power,Alpha/Beta Ratio
Eyes Closed 1,52.71182634253949,72.20217624555326,1.36975288574444
Stare at Cross,54.31856135835637,71.08716872164268,1.3087086061182405
Eyes Closed 2,53.91580936491895,72.10904663710744,1.3374378959805835
Random Crosses,53.8982696452655,70.11958590850469,1.3009617260442812
